Timestamp,EventType,Data
1778157261.3724995,key_press,key=' '
1778157261.4416249,key_press,key=' '
1778157261.5271065,key_press,key=' '
1778157261.5887215,key_press,key=' '
1778157261.7445416,key_press,key=' '
1778157261.8982983,key_press,key=' '
1778157261.9803357,key_press,key=' '
1778157262.1312363,key_press,key='p'
1778157262.2794518,key_press,key='r'
1778157262.373855,key_press,key='i'
1778157262.4406989,key_press,key='n'
1778157262.5142612,key_press,key='t'
1778157262.6602218,key_press,key='('
1778157262.7249012,key_press,key='''
1778157262.8550248,key_press,key='C'
1778157262.956839,key_press,key='o'
1778157263.0687892,key_press,key='n'
1778157263.199788,key_press,key='f'
1778157263.2763515,key_press,key='i'
1778157263.3825235,key_press,key='g'
1778157263.5304108,key_press,key='u'
1778157263.674083,key_press,key='r'
1778157263.8126748,key_press,key='a'
1778157263.8805926,key_press,key='t'
1778157264.0177178,key_press,key='i'
1778157264.1086068,key_press,key='o'
1778157264.2135901,key_press,key='n'
1778157264.284798,key_press,key=' '
1778157264.4027734,key_press,key='l'
1778157264.4834213,key_press,key='o'
1778157264.5847998,key_press,key='a'
1778157264.7424235,key_press,key='d'
1778157264.8639703,key_press,key='e'
1778157264.979064,key_press,key='d'
1778157265.0767884,key_press,key=' '
1778157265.2060077,key_press,key='s'
1778157265.3443537,key_press,key='u'
1778157265.430446,key_press,key='c'
1778157265.5282984,key_press,key='c'
1778157265.6270905,key_press,key='e'
1778157265.7502067,key_press,key='s'
1778157265.8232808,key_press,key='s'
1778157265.9506733,key_press,key='f'
1778157266.0248356,key_press,key='u'
1778157266.1317174,key_press,key='l'
1778157266.2112648,key_press,key='l'
1778157266.275012,key_press,key='y'
1778157266.369764,key_press,key='.'
1778157266.4469924,key_press,key='''
1778157266.5614731,key_press,key=')'
1778157266.5614731,screenshot,screenshot_0004.png
1778157267.111473,mouse_move,"x=800, y=500"
1778157267.161473,mouse_move,"x=799, y=483"
1778157267.211473,mouse_move,"x=785, y=459"
1778157267.261473,mouse_move,"x=761, y=430"
1778157267.311473,mouse_move,"x=731, y=397"
1778157267.3614728,mouse_move,"x=697, y=363"
1778157267.4114728,mouse_move,"x=664, y=330"
1778157267.4614727,mouse_move,"x=634, y=298"
1778157267.5114727,mouse_move,"x=612, y=271"
1778157267.5614727,mouse_move,"x=600, y=250"
1778157267.6614726,mouse_click,"x=600, y=250, button=Button.left, pressed=True"
1778157267.7114725,mouse_click,"x=600, y=250, button=Button.left, pressed=False"
1778157267.7114725,screenshot,screenshot_0005.png
